2021-12-24 17:56:01.762 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2021-12-24 17:56:02.940 [main] INFO  o.a.r.s.support.DefaultRocketMQListenerContainer - running container: DefaultRocketMQListenerContainer{consumerGroup='coupon-group', nameServer='121.36.1.4:9876', topic='coupon-topic', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpression='1', messageModel=CLUSTERING}
2021-12-24 17:56:02.940 [main] INFO  o.a.r.s.a.ListenerContainerConfiguration - Register the listener to container, listenerBeanName:couponConsumerListener, containerBeanName:org.apache.rocketmq.spring.support.DefaultRocketMQListenerContainer_1
2021-12-24 17:56:04.046 [main] INFO  o.a.r.s.support.DefaultRocketMQListenerContainer - running container: DefaultRocketMQListenerContainer{consumerGroup='aftersales-refund-group', nameServer='121.36.1.4:9876', topic='refund-type2-notify-topic', consumeMode=ORDERLY, selectorType=TAG, selectorExpression='*', messageModel=CLUSTERING}
2021-12-24 17:56:04.046 [main] INFO  o.a.r.s.a.ListenerContainerConfiguration - Register the listener to container, listenerBeanName:refundConsumerListener, containerBeanName:org.apache.rocketmq.spring.support.DefaultRocketMQListenerContainer_2
2021-12-24 17:56:04.669 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader - Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2021-12-24 17:56:04.673 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader - Unable to interpret the implicit parameter configuration with dataType: AddressVo, dataTypeClass: class java.lang.Void
2021-12-24 17:56:04.673 [main] WARN  s.d.builders.BodyParameterSpecificationProvider - Parameter should either be a simple or a content type
2021-12-24 17:56:04.707 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader - Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2021-12-24 17:56:04.708 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader - Unable to interpret the implicit parameter configuration with dataType: Integer, dataTypeClass: class java.lang.Void
